iter	metric	delta	decision	description
0	0.6352	-	baseline	Baseline: k=50, steps=500, lr=1e-3, V*0.01 init, scale=0.35, physics_weight=1.0
1	0.9898	+0.3546	discard	V init scale 0.01→0.3: worse (large random V harder to organize in 500 steps)
2	0.5918	-0.0434	keep	warmup+cosine LR decay (warmup=50 steps, end_lr=1e-5): improved 6.8%
3	0.6178	+0.0260	discard	physics_weight 1.0→5.0: slightly worse
4	0.8343	+0.2425	discard	grid B init for 2D (7x7 grid): worse (rigid placement hurts)
5	0.6907	+0.0989	discard	curriculum physics_weight 0→1 over first 1/3 of steps: worse
6	0.6229	+0.0311	discard	gradient clipping global_norm=1.0 before Adam: slightly worse
7	0.6471	+0.0553	discard	reduce eps 0.08→0.02 (smaller source ring): worse
8	0.2376	-0.3542	keep	positive V init |N(0,0.05)| instead of N(0,0.01): MAJOR improvement 59.8%
9	0.2370	-0.0006	keep	LR schedule end_value 0.01→0.05 of peak: marginal improvement
10	0.2226	-0.0144	keep	increase positive V init scale 0.05→0.10: 6.1% improvement
